Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
Alaska,Jan-12,$240K,2.40%,8.30%,251,-42.40%,-12.80%,524,91.90%,-8.70%,"2,531",3.00%,-10.50%,142,17,4,98.40%,0.70%,0.80%
Alaska,Feb-12,$246K,2.50%,-3.30%,289,15.10%,0.00%,612,16.80%,-5.80%,"2,657",5.00%,-11.50%,148,6,5,98.30%,-0.10%,0.30%
Alaska,Mar-12,$242K,-1.80%,0.00%,387,33.90%,0.80%,824,34.60%,-2.10%,"2,905",9.30%,-10.10%,132,-16,12,98.30%,0.00%,0.20%
Alaska,Apr-12,$243K,0.30%,2.70%,444,14.70%,-7.50%,975,18.30%,4.30%,"3,271",12.60%,-5.40%,129,-3,11,98.10%,-0.20%,-0.40%
Alaska,May-12,$251K,3.20%,4.20%,568,27.90%,14.10%,"1,125",15.40%,17.40%,"3,619",10.60%,-3.00%,92,-37,-22,98.00%,-0.10%,-0.40%
Alaska,Jun-12,$261K,3.90%,7.20%,602,6.00%,13.20%,"1,141",1.40%,14.70%,"3,932",8.60%,0.30%,82,-10,-20,98.40%,0.40%,0.70%
Alaska,Jul-12,$256K,-1.70%,3.50%,596,-1.00%,9.20%,974,-14.60%,22.50%,"4,082",3.80%,3.70%,84,2,-4,98.50%,0.10%,0.60%
Alaska,Aug-12,$258K,0.70%,3.80%,716,20.10%,23.90%,869,-10.80%,3.60%,"3,935",-3.60%,1.80%,91,7,-10,98.40%,-0.10%,0.30%
Alaska,Sep-12,$260K,0.80%,3.60%,533,-25.60%,0.60%,599,-31.10%,3.80%,"3,700",-6.00%,3.50%,92,1,-11,98.10%,-0.30%,-0.10%
Alaska,Oct-12,$258K,-0.60%,7.30%,570,6.90%,15.90%,561,-6.30%,7.90%,"3,345",-9.60%,2.40%,103,11,-5,98.10%,-0.10%,0.00%
Alaska,Nov-12,$251K,-2.90%,2.30%,533,-6.50%,32.30%,380,-32.30%,3.30%,"2,914",-12.90%,-0.50%,112,9,-8,98.20%,0.10%,0.20%
Alaska,Dec-12,$250K,-0.20%,6.70%,463,-13.10%,6.20%,309,-18.70%,13.20%,"2,473",-15.10%,0.70%,125,13,0,98.00%,-0.20%,0.30%
Alaska,Jan-13,$248K,-0.80%,3.30%,342,-26.10%,36.30%,624,101.90%,19.10%,"2,573",4.00%,1.70%,139,14,-3,97.70%,-0.30%,-0.80%
Alaska,Feb-13,$244K,-1.80%,-1.00%,349,2.00%,20.80%,693,11.10%,13.20%,"2,782",8.10%,4.70%,139,0,-9,97.60%,-0.10%,-0.70%
Alaska,Mar-13,$253K,3.90%,4.70%,432,23.80%,11.60%,954,37.70%,15.80%,"3,165",13.80%,9.00%,124,-15,-8,98.20%,0.70%,-0.10%
Alaska,Apr-13,$259K,2.20%,6.60%,538,24.50%,21.20%,"1,072",12.40%,9.90%,"3,523",11.30%,7.70%,101,-23,-28,98.70%,0.50%,0.60%
Alaska,May-13,$261K,0.70%,4.00%,705,31.00%,24.10%,"1,200",11.90%,6.70%,"3,809",8.10%,5.30%,82,-19,-10,98.70%,0.00%,0.70%
Alaska,Jun-13,$258K,-1.00%,-1.00%,636,-9.80%,5.60%,"1,263",5.30%,10.70%,"4,235",11.20%,7.70%,86,4,4,98.50%,-0.20%,0.10%
Alaska,Jul-13,$270K,4.70%,5.40%,709,11.50%,19.00%,"1,132",-10.40%,16.20%,"4,415",4.30%,8.20%,78,-8,-6,98.60%,0.20%,0.10%
Alaska,Aug-13,$275K,1.80%,6.60%,775,9.30%,8.20%,993,-12.30%,14.30%,"4,354",-1.40%,10.60%,83,5,-8,98.60%,0.00%,0.20%
Alaska,Sep-13,$254K,-7.70%,-2.30%,726,-6.30%,36.20%,746,-24.90%,24.50%,"4,072",-6.50%,10.10%,98,15,6,98.70%,0.10%,0.60%
Alaska,Oct-13,$254K,0.00%,-1.70%,808,11.30%,41.80%,627,-16.00%,11.80%,"3,572",-12.30%,6.80%,100,2,-3,98.30%,-0.40%,0.20%
Alaska,Nov-13,$259K,2.10%,3.40%,577,-28.60%,8.30%,460,-26.60%,21.10%,"3,202",-10.40%,9.90%,110,10,-2,98.30%,0.00%,0.10%
Alaska,Dec-13,$254K,-1.80%,1.70%,561,-2.80%,21.20%,301,-34.60%,-2.60%,"2,675",-16.50%,8.20%,114,4,-11,97.80%,-0.40%,-0.20%
Alaska,Jan-14,$231K,-9.30%,-7.00%,422,-24.80%,23.40%,620,106.00%,-0.60%,"2,687",0.40%,4.40%,122,8,-17,97.90%,0.10%,0.20%
Alaska,Feb-14,$239K,3.60%,-1.90%,390,-7.60%,11.70%,677,9.20%,-2.30%,"2,826",5.20%,1.60%,119,-3,-20,98.10%,0.20%,0.50%
Alaska,Mar-14,$264K,10.50%,4.40%,490,25.60%,13.40%,989,46.10%,3.70%,"3,164",12.00%,0.00%,121,2,-3,98.50%,0.40%,0.20%
Alaska,Apr-14,$253K,-4.20%,-2.20%,624,27.30%,16.00%,"1,113",12.50%,3.80%,"3,500",10.60%,-0.70%,90,-31,-11,98.60%,0.10%,-0.20%
Alaska,May-14,$257K,1.30%,-1.50%,695,11.40%,-1.40%,"1,221",9.70%,1.80%,"3,829",9.40%,0.50%,78,-12,-4,98.60%,0.00%,-0.20%
Alaska,Jun-14,$266K,3.60%,3.10%,799,15.00%,25.60%,"1,136",-7.00%,-10.10%,"3,948",3.10%,-6.80%,81,3,-5,98.60%,0.00%,0.10%
Alaska,Jul-14,$271K,1.80%,0.30%,830,3.90%,17.10%,"1,201",5.70%,6.10%,"4,073",3.20%,-7.70%,79,-2,1,98.70%,0.10%,0.10%
Alaska,Aug-14,$255K,-5.70%,-7.10%,788,-5.10%,1.70%,953,-20.60%,-4.00%,"3,992",-2.00%,-8.30%,86,7,3,98.30%,-0.40%,-0.30%
Alaska,Sep-14,$259K,1.30%,1.90%,792,0.50%,9.10%,776,-18.60%,4.00%,"3,729",-6.60%,-8.40%,90,4,-8,98.70%,0.40%,0.10%
Alaska,Oct-14,$260K,0.60%,2.60%,791,-0.10%,-2.10%,707,-8.90%,12.80%,"3,390",-9.10%,-5.10%,97,7,-3,98.30%,-0.50%,0.00%
Alaska,Nov-14,$253K,-2.90%,-2.50%,582,-26.40%,0.90%,475,-32.80%,3.30%,"3,071",-9.40%,-4.10%,103,6,-7,98.60%,0.30%,0.30%
Alaska,Dec-14,$262K,3.80%,3.10%,639,9.80%,13.90%,419,-11.80%,39.20%,"2,611",-15.00%,-2.40%,112,9,-2,98.70%,0.10%,0.90%
Alaska,Jan-15,$250K,-4.70%,8.20%,453,-29.20%,7.10%,662,58.00%,6.80%,"2,699",3.20%,0.30%,107,-5,-15,98.10%,-0.60%,0.20%
Alaska,Feb-15,$252K,0.60%,5.30%,438,-3.10%,12.30%,773,16.90%,14.20%,"2,907",7.90%,2.90%,109,2,-10,98.70%,0.60%,0.60%
Alaska,Mar-15,$261K,3.60%,-1.40%,600,37.00%,22.40%,"1,116",44.40%,12.80%,"3,298",13.50%,4.20%,102,-7,-19,98.60%,-0.10%,0.20%
Alaska,Apr-15,$263K,0.70%,3.70%,720,20.00%,15.40%,"1,169",4.70%,5.00%,"3,609",9.40%,3.10%,82,-20,-8,98.80%,0.20%,0.20%
Alaska,May-15,$271K,3.60%,5.80%,738,2.10%,5.90%,"1,204",2.80%,-1.40%,"3,909",8.10%,1.90%,76,-6,-2,98.60%,-0.10%,0.10%
Alaska,Jun-15,$275K,1.40%,3.60%,931,26.20%,15.80%,"1,229",2.10%,7.90%,"3,993",2.10%,1.00%,75,-1,-6,98.70%,0.10%,0.10%
Alaska,Jul-15,$271K,-1.80%,-0.10%,884,-4.90%,6.50%,"1,217",-0.70%,1.30%,"4,131",3.60%,1.40%,81,6,2,98.40%,-0.30%,-0.30%
Alaska,Aug-15,$269K,-0.70%,5.20%,827,-6.40%,4.90%,"1,022",-16.00%,7.20%,"4,107",-0.60%,2.90%,78,-3,-8,98.30%,-0.20%,-0.10%
Alaska,Sep-15,$271K,0.80%,4.70%,857,3.60%,8.20%,790,-22.70%,1.80%,"3,774",-8.10%,1.20%,86,8,-4,98.60%,0.30%,-0.20%
Alaska,Oct-15,$260K,-4.10%,-0.30%,785,-8.70%,-0.90%,748,-5.60%,5.80%,"3,455",-8.60%,1.80%,93,7,-4,98.10%,-0.40%,-0.10%
Alaska,Nov-15,$258K,-0.60%,2.10%,540,-31.10%,-7.20%,470,-37.10%,-1.10%,"3,159",-8.40%,2.90%,102,9,-1,98.10%,0.00%,-0.50%
Alaska,Dec-15,$266K,2.80%,1.30%,655,21.10%,2.30%,448,-5.10%,6.90%,"2,692",-15.00%,2.90%,103,1,-9,98.20%,0.10%,-0.50%
Alaska,Jan-16,$262K,-1.20%,5.00%,429,-34.50%,-5.30%,707,57.80%,6.80%,"2,832",5.20%,4.90%,123,20,16,98.20%,0.00%,0.10%
Alaska,Feb-16,$274K,4.30%,8.80%,444,3.70%,1.40%,874,23.80%,13.10%,"3,103",10.00%,6.70%,126,3,17,98.50%,0.20%,-0.30%
Alaska,Mar-16,$262K,-4.40%,0.50%,597,34.50%,-0.50%,"1,210",38.40%,8.40%,"3,544",14.20%,7.50%,101,-25,-1,98.20%,-0.30%,-0.50%
Alaska,Apr-16,$271K,3.60%,3.30%,625,4.30%,-13.60%,"1,304",7.40%,11.40%,"4,031",13.40%,11.50%,85,-15,3,98.50%,0.40%,-0.30%
Alaska,May-16,$270K,-0.20%,-0.50%,728,16.50%,-1.40%,"1,209",-7.30%,0.40%,"4,277",6.10%,9.40%,81,-4,5,98.60%,0.10%,0.00%
Alaska,Jun-16,$284K,5.00%,3.00%,885,21.60%,-4.90%,"1,183",-2.20%,-3.70%,"4,353",1.80%,9.00%,80,-1,5,99.10%,0.50%,0.40%
Alaska,Jul-16,$278K,-2.00%,2.80%,797,-9.70%,-9.80%,"1,031",-12.50%,-15.30%,"4,342",0.00%,5.10%,83,3,2,98.60%,-0.50%,0.10%
Alaska,Aug-16,$266K,-4.40%,-1.00%,855,7.30%,3.40%,989,-4.10%,-3.20%,"4,167",-4.00%,1.50%,88,5,10,98.60%,0.00%,0.30%
Alaska,Sep-16,$273K,2.80%,0.90%,785,-8.40%,-8.70%,786,-20.80%,-0.80%,"3,910",-6.40%,3.40%,100,11,14,98.60%,0.00%,0.00%
Alaska,Oct-16,$269K,-1.50%,3.60%,694,-11.60%,-11.60%,646,-17.80%,-13.60%,"3,572",-8.60%,3.40%,103,3,10,98.20%,-0.40%,0.10%
Alaska,Nov-16,$283K,5.30%,9.70%,666,-4.00%,23.10%,517,-20.00%,9.50%,"3,179",-11.00%,0.40%,108,5,6,98.50%,0.30%,0.40%
Alaska,Dec-16,$276K,-2.60%,3.90%,633,-4.70%,-3.10%,351,-32.00%,-20.60%,"2,594",-18.10%,-3.20%,119,11,16,98.60%,0.10%,0.40%
Alaska,Jan-17,$265K,-4.30%,0.70%,444,-29.90%,3.70%,640,82.30%,-9.30%,"2,628",1.30%,-6.80%,119,0,-4,98.10%,-0.50%,-0.20%
Alaska,Feb-17,$269K,1.70%,-1.80%,394,-11.30%,-11.30%,683,6.70%,-21.90%,"2,769",5.40%,-10.80%,115,-4,-11,98.30%,0.20%,-0.20%
Alaska,Mar-17,$267K,-0.70%,1.90%,568,44.20%,-4.90%,"1,089",59.40%,-10.00%,"3,123",12.80%,-11.90%,109,-6,8,98.10%,-0.20%,-0.10%
