Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Aguila, AZ",Apr-14,$68K,,,1,,,,,,1,,,65,,,97.30%,,
"Aguila, AZ",Feb-17,$23K,,,1,,,,,,,,,46,,,76.70%,,
"Aguila, AZ",May-19,$72K,,,1,,,,,,1,,,95,,,,,
"Aguila, AZ",May-20,$95K,,31.90%,1,,0.00%,,,,,,,438,,343,90.50%,,
"Aguila, AZ",Nov-21,$400K,,,1,,,,,,,,,178,,,100.00%,,
"Ajo, AZ",Mar-12,$40K,,8.10%,1,,0.00%,1,,,4,,-20.00%,22,,-13,100.00%,,0.00%
"Ajo, AZ",Apr-12,$62K,53.80%,,1,0.00%,,,,,3,-25.00%,,116,94,,86.70%,-13.30%,
"Ajo, AZ",May-12,$49K,-20.30%,-27.90%,1,0.00%,0.00%,,,,2,-33.30%,0.00%,105,-11,-150,98.20%,11.50%,7.50%
"Ajo, AZ",Jun-12,$17K,-65.30%,-61.30%,1,0.00%,0.00%,,,,2,0.00%,0.00%,60,-45,-101,85.40%,-12.80%,-2.30%
"Ajo, AZ",Nov-12,$26K,,,1,,,1,,,5,,,207,,,100.00%,,
"Ajo, AZ",Mar-13,$47K,,17.50%,1,,0.00%,,,,5,,25.00%,127,,105,78.50%,,-21.50%
"Ajo, AZ",Jul-13,$64K,,,1,,,,,,8,,,161,,,80.20%,,
"Ajo, AZ",Sep-13,$11K,,,1,,,3,,,7,,,146,,,82.00%,,
"Ajo, AZ",Jan-14,$33K,,,1,,,2,,,10,,,161,,,82.00%,,
"Ajo, AZ",Feb-14,$25K,-25.10%,,1,0.00%,,3,50.00%,,12,20.00%,,28,-133,,99.40%,17.40%,
"Ajo, AZ",Mar-14,$34K,39.20%,-27.40%,1,0.00%,0.00%,1,-66.70%,,11,-8.30%,120.00%,5,-23,-122,100.30%,0.90%,21.80%
"Ajo, AZ",Apr-14,$43K,26.10%,,1,0.00%,,1,0.00%,,9,-18.20%,,74,69,,99.40%,-0.90%,
"Ajo, AZ",May-14,$32K,-26.70%,,3,200.00%,,1,0.00%,,8,-11.10%,,205,131,,81.50%,-17.90%,
"Ajo, AZ",Jun-14,$17K,-47.60%,,1,-66.70%,,1,0.00%,,9,12.50%,,361,156,,92.70%,11.20%,
"Ajo, AZ",Aug-14,$65K,,,1,,,1,,,6,,,150,,,89.20%,,
"Ajo, AZ",Oct-14,$10K,,,1,,,1,,,9,,,78,,,51.80%,,
"Ajo, AZ",Dec-14,$55K,,,1,,,,,,7,,,76,,,100.00%,,
"Ajo, AZ",Jan-15,$43K,-21.60%,31.90%,1,0.00%,0.00%,,,,6,-14.30%,-40.00%,110,34,-51,103.30%,3.30%,21.30%
"Ajo, AZ",Feb-15,$41K,-5.00%,67.30%,3,200.00%,200.00%,,,,3,-50.00%,-75.00%,145,35,117,88.60%,-14.70%,-10.80%
"Ajo, AZ",May-15,$45K,,43.70%,1,,-66.70%,3,,200.00%,8,,0.00%,229,,24,92.30%,,10.80%
"Ajo, AZ",Aug-15,$20K,,-69.70%,1,,0.00%,,,,6,,0.00%,83,,-67,91.60%,,2.50%
"Ajo, AZ",Sep-15,$20K,1.40%,,3,200.00%,,,,,5,-16.70%,,116,33,,85.90%,-5.70%,
"Ajo, AZ",Dec-15,$6K,,-89.10%,1,,0.00%,3,,,7,,0.00%,255,,179,75.00%,,-25.00%
"Ajo, AZ",Jan-16,$32K,427.50%,-26.60%,5,400.00%,400.00%,1,-66.70%,,5,-28.60%,-16.70%,70,-185,-40,92.50%,17.50%,-10.70%
"Ajo, AZ",Feb-16,$18K,-42.90%,-55.90%,1,-80.00%,-66.70%,1,0.00%,,4,-20.00%,33.30%,70,0,-75,92.60%,0.10%,4.10%
"Ajo, AZ",Mar-16,$19K,5.80%,,1,0.00%,,1,0.00%,,3,-25.00%,,11,-59,,94.90%,2.20%,
"Ajo, AZ",Apr-16,$36K,90.60%,,3,200.00%,,2,100.00%,,4,33.30%,,82,71,,89.50%,-5.30%,
"Ajo, AZ",Aug-16,$32K,,61.00%,2,,100.00%,2,,,4,,-33.30%,62,,-21,108.10%,,16.50%
