Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Ahuimanu, HI",Jan-12,$518K,14.90%,-12.90%,2,-50.00%,-50.00%,2,-33.30%,-60.00%,21,-8.70%,0.00%,260,125,134,97.80%,-0.30%,2.80%
"Ahuimanu, HI",Feb-12,$572K,10.40%,6.40%,7,250.00%,75.00%,5,150.00%,-44.40%,19,-9.50%,-26.90%,226,-34,76,98.20%,0.30%,0.50%
"Ahuimanu, HI",Mar-12,$332K,-42.00%,-26.20%,2,-71.40%,-33.30%,4,-20.00%,-33.30%,20,5.30%,-31.00%,75,-151,-61,99.40%,1.30%,3.90%
"Ahuimanu, HI",Apr-12,$395K,19.00%,-1.40%,5,150.00%,-16.70%,8,100.00%,60.00%,21,5.00%,-22.20%,78,3,-7,98.20%,-1.20%,-1.30%
"Ahuimanu, HI",May-12,$435K,10.10%,-2.80%,5,0.00%,150.00%,5,-37.50%,-37.50%,21,0.00%,-32.30%,71,-7,-39,98.80%,0.60%,-0.70%
"Ahuimanu, HI",Jun-12,$439K,0.90%,5.80%,3,-40.00%,-40.00%,5,0.00%,-44.40%,23,9.50%,-28.10%,79,8,-27,99.30%,0.50%,0.90%
"Ahuimanu, HI",Jul-12,$442K,0.70%,3.00%,5,66.70%,0.00%,5,0.00%,25.00%,23,0.00%,-20.70%,110,31,31,99.60%,0.30%,1.90%
"Ahuimanu, HI",Aug-12,$430K,-2.70%,-16.30%,8,60.00%,100.00%,6,20.00%,-33.30%,20,-13.00%,-39.40%,77,-33,-36,98.70%,-1.00%,1.70%
"Ahuimanu, HI",Sep-12,$440K,2.30%,16.20%,7,-12.50%,75.00%,4,-33.30%,0.00%,16,-20.00%,-48.40%,98,21,-63,98.40%,-0.20%,-0.40%
"Ahuimanu, HI",Oct-12,$596K,35.50%,26.80%,5,-28.60%,25.00%,4,0.00%,-42.90%,15,-6.30%,-50.00%,66,-32,-20,98.60%,0.20%,0.30%
"Ahuimanu, HI",Nov-12,$470K,-21.10%,-19.00%,3,-40.00%,-62.50%,3,-25.00%,-50.00%,16,6.70%,-38.50%,98,32,10,101.50%,2.90%,4.00%
"Ahuimanu, HI",Dec-12,$465K,-1.10%,3.10%,3,0.00%,-25.00%,5,66.70%,66.70%,16,0.00%,-30.40%,64,-34,-71,101.10%,-0.40%,3.00%
"Ahuimanu, HI",Jan-13,$350K,-24.70%,-32.40%,1,-66.70%,-50.00%,6,20.00%,200.00%,21,31.30%,0.00%,69,5,-191,95.90%,-5.20%,-1.90%
"Ahuimanu, HI",Feb-13,$389K,11.10%,-32.00%,1,0.00%,-85.70%,8,33.30%,60.00%,27,28.60%,42.10%,103,34,-123,96.00%,0.20%,-2.10%
"Ahuimanu, HI",Mar-13,$405K,4.10%,22.00%,6,500.00%,200.00%,6,-25.00%,50.00%,27,0.00%,35.00%,81,-22,6,99.80%,3.70%,0.30%
"Ahuimanu, HI",Apr-13,$490K,21.00%,24.10%,9,50.00%,80.00%,3,-50.00%,-62.50%,20,-25.90%,-4.80%,97,16,19,98.90%,-0.80%,0.70%
"Ahuimanu, HI",May-13,$575K,17.30%,32.10%,4,-55.60%,-20.00%,4,33.30%,-20.00%,19,-5.00%,-9.50%,62,-35,-9,104.00%,5.10%,5.20%
"Ahuimanu, HI",Jun-13,$471K,-18.10%,7.20%,6,50.00%,100.00%,9,125.00%,80.00%,23,21.10%,0.00%,78,16,-1,101.40%,-2.70%,2.10%
"Ahuimanu, HI",Jul-13,$541K,14.90%,22.30%,9,50.00%,80.00%,8,-11.10%,60.00%,23,0.00%,0.00%,107,29,-3,99.60%,-1.70%,0.00%
"Ahuimanu, HI",Aug-13,$484K,-10.50%,12.40%,10,11.10%,25.00%,6,-25.00%,0.00%,19,-17.40%,-5.00%,63,-44,-14,99.10%,-0.50%,0.40%
"Ahuimanu, HI",Sep-13,$449K,-7.10%,2.00%,5,-50.00%,-28.60%,6,0.00%,50.00%,17,-10.50%,6.30%,68,5,-30,100.80%,1.70%,2.40%
"Ahuimanu, HI",Oct-13,$555K,23.60%,-6.90%,6,20.00%,20.00%,2,-66.70%,-50.00%,14,-17.60%,-6.70%,57,-11,-9,99.50%,-1.30%,0.80%
"Ahuimanu, HI",Nov-13,$480K,-13.50%,2.10%,5,-16.70%,66.70%,7,250.00%,133.30%,16,14.30%,0.00%,56,-1,-42,99.50%,0.00%,-2.00%
"Ahuimanu, HI",Dec-13,$408K,-15.00%,-12.30%,3,-40.00%,0.00%,5,-28.60%,0.00%,17,6.30%,6.30%,132,76,68,98.10%,-1.40%,-3.00%
"Ahuimanu, HI",Jan-14,$730K,78.90%,108.60%,5,66.70%,400.00%,7,40.00%,16.70%,19,11.80%,-9.50%,65,-67,-4,100.30%,2.20%,4.40%
"Ahuimanu, HI",Feb-14,$480K,-34.20%,23.40%,4,-20.00%,300.00%,1,-85.70%,-87.50%,16,-15.80%,-40.70%,55,-10,-48,99.80%,-0.60%,3.70%
"Ahuimanu, HI",Mar-14,$494K,2.90%,22.00%,4,0.00%,-33.30%,8,700.00%,33.30%,18,12.50%,-33.30%,85,30,4,100.80%,1.00%,1.00%
"Ahuimanu, HI",Apr-14,$455K,-7.90%,-7.10%,2,-50.00%,-77.80%,6,-25.00%,100.00%,21,16.70%,5.00%,101,16,4,101.70%,0.90%,2.80%
"Ahuimanu, HI",May-14,$753K,65.40%,30.90%,6,200.00%,50.00%,6,0.00%,50.00%,20,-4.80%,5.30%,63,-38,1,99.30%,-2.40%,-4.70%
"Ahuimanu, HI",Jun-14,$563K,-25.20%,19.60%,4,-33.30%,-33.30%,9,50.00%,0.00%,24,20.00%,4.30%,59,-4,-19,97.90%,-1.40%,-3.50%
"Ahuimanu, HI",Jul-14,$711K,26.40%,31.50%,6,50.00%,-33.30%,12,33.30%,50.00%,30,25.00%,30.40%,60,1,-47,99.30%,1.40%,-0.30%
"Ahuimanu, HI",Aug-14,$553K,-22.30%,14.30%,10,66.70%,0.00%,5,-58.30%,-16.70%,25,-16.70%,31.60%,56,-4,-7,100.00%,0.80%,0.90%
"Ahuimanu, HI",Sep-14,$590K,6.80%,31.40%,6,-40.00%,20.00%,5,0.00%,-16.70%,23,-8.00%,35.30%,65,9,-3,92.70%,-7.30%,-8.00%
"Ahuimanu, HI",Oct-14,$676K,14.50%,21.70%,8,33.30%,33.30%,8,60.00%,300.00%,23,0.00%,64.30%,79,14,22,98.90%,6.10%,-0.60%
"Ahuimanu, HI",Nov-14,$770K,14.00%,60.40%,4,-50.00%,-20.00%,7,-12.50%,0.00%,26,13.00%,62.50%,137,58,81,98.70%,-0.20%,-0.80%
"Ahuimanu, HI",Dec-14,$490K,-36.40%,20.10%,7,75.00%,133.30%,7,0.00%,40.00%,25,-3.80%,47.10%,60,-77,-72,99.90%,1.20%,1.80%
"Ahuimanu, HI",Jan-15,$675K,37.80%,-7.50%,11,57.10%,120.00%,6,-14.30%,-14.30%,20,-20.00%,5.30%,72,12,7,100.60%,0.70%,0.30%
"Ahuimanu, HI",Feb-15,$595K,-11.90%,24.00%,1,-90.90%,-75.00%,6,0.00%,500.00%,21,5.00%,31.30%,59,-13,4,103.50%,2.80%,3.70%
"Ahuimanu, HI",Mar-15,$531K,-10.80%,7.40%,10,900.00%,150.00%,9,50.00%,12.50%,21,0.00%,16.70%,102,43,17,98.80%,-4.70%,-2.00%
"Ahuimanu, HI",Apr-15,$575K,8.40%,26.40%,7,-30.00%,250.00%,4,-55.60%,-33.30%,17,-19.00%,-19.00%,59,-43,-42,99.30%,0.50%,-2.40%
"Ahuimanu, HI",May-15,$495K,-13.90%,-34.20%,3,-57.10%,-50.00%,10,150.00%,66.70%,19,11.80%,-5.00%,55,-4,-8,100.70%,1.40%,1.40%
"Ahuimanu, HI",Jun-15,$545K,10.10%,-3.10%,10,233.30%,150.00%,7,-30.00%,-22.20%,17,-10.50%,-29.20%,102,47,43,99.20%,-1.50%,1.30%
"Ahuimanu, HI",Jul-15,$629K,15.40%,-11.50%,10,0.00%,66.70%,5,-28.60%,-58.30%,13,-23.50%,-56.70%,46,-56,-14,100.60%,1.30%,1.30%
