Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Abbyville, KS",Oct-18,$5K,,,1,,,,,,1,,,27,,,,,
"Abbyville, KS",Jun-19,$54K,,,1,,,,,,,,,343,,,,,
"Abbyville, KS",Apr-22,$65K,,,1,,,,,,,,,206,,,,,
"Abbyville, KS",May-23,$80K,,,1,,,,,,,,,11,,,,,
"Ada, KS",Oct-17,$180K,,,1,,,,,,,,,61,,,,,
"Ada, KS",Feb-21,$120K,,,1,,,,,,,,,103,,,,,
"Admire, KS",Dec-14,$20K,,,1,,,,,,,,,41,,,,,
"Admire, KS",Jul-15,$14K,,,1,,,,,,1,,,43,,,,,
"Admire, KS",Aug-15,$65K,364.30%,,1,0.00%,,,,,,,,71,28,,,,
"Admire, KS",Sep-16,$29K,,,1,,,,,,,,,134,,,,,
"Admire, KS",Jul-19,$40K,,,1,,,,,,3,,,89,,,,,
"Admire, KS",Sep-19,$50K,,,1,,,,,,2,,,75,,,,,
"Admire, KS",May-20,$32K,,,1,,,,,,,,,100,,,,,
"Admire, KS",Sep-21,$45K,,,1,,,,,,2,,,54,,,,,
"Admire, KS",Oct-21,$90K,102.00%,,1,0.00%,,,,,1,-50.00%,,56,2,,,,
"Admire, KS",Nov-21,$155K,72.30%,,1,0.00%,,,,,,,,99,43,,,,
"Albert, KS",Jun-14,$54K,,,1,,,,,,,,,35,,,,,
"Albert, KS",Nov-15,$80K,,,1,,,,,,,,,212,,,,,
"Albert, KS",Jun-16,$28K,,,1,,,,,,,,,170,,,,,
"Albert, KS",Dec-16,$130K,,,1,,,,,,,,,25,,,,,
"Albert, KS",Dec-17,$32K,,-75.00%,2,,100.00%,,,,,,,111,,86,,,
"Albert, KS",Oct-18,$65K,,,1,,,,,,1,,,137,,,,,
"Albert, KS",Dec-18,$70K,,115.40%,1,,-50.00%,,,,,,,104,,-7,,,
"Albert, KS",Mar-21,$50K,,,1,,,,,,,,,147,,,,,
"Albert, KS",Mar-23,$60K,,,1,,,,,,,,,26,,,,,
"Allen County, KS",Mar-12,$118K,,,3,,,3,,,14,,,196,,,88.80%,,
"Allen County, KS",May-12,$112K,,308.20%,4,,0.00%,4,,100.00%,15,,-11.80%,518,,422,89.80%,,0.00%
