Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Alfred, ME",Jun-15,$180K,,,1,,,1,,,14,,,391,,,90.50%,,
"Alfred, ME",Jul-15,$207K,15.10%,,2,100.00%,,9,800.00%,,19,35.70%,,248,-143,,97.80%,7.30%,
"Alfred, ME",Aug-15,$186K,-10.50%,,4,100.00%,,2,-77.80%,,19,0.00%,,44,-204,,93.80%,-4.00%,
"Alfred, ME",Sep-15,$157K,-15.40%,,2,-50.00%,,3,50.00%,,21,10.50%,,6,-38,,100.00%,6.20%,
"Alfred, ME",Oct-15,$268K,70.70%,,1,-50.00%,,2,-33.30%,,20,-4.80%,,29,23,,96.10%,-3.90%,
"Alfred, ME",Dec-15,$228K,,,2,,,2,,,17,,,57,,,95.70%,,
"Alfred, ME",Jan-16,$267K,17.40%,,2,0.00%,,1,-50.00%,,15,-11.80%,,317,260,,101.00%,5.30%,
"Alfred, ME",Mar-16,$205K,,,2,,,3,,,11,,,119,,,100.00%,,
"Alfred, ME",Apr-16,$229K,11.50%,,4,100.00%,,2,-33.30%,,9,-18.20%,,97,-22,,105.10%,5.10%,
"Alfred, ME",May-16,$249K,8.80%,,1,-75.00%,,,,,6,-33.30%,,233,136,,101.40%,-3.70%,
"Alfred, ME",Jun-16,$195K,-21.50%,8.30%,3,200.00%,200.00%,10,,900.00%,14,133.30%,0.00%,40,-193,-351,96.50%,-4.90%,6.10%
"Alfred, ME",Jul-16,$298K,52.60%,43.50%,2,-33.30%,0.00%,,,,12,-14.30%,-36.80%,23,-17,-225,91.60%,-4.90%,-6.20%
"Alfred, ME",Aug-16,$230K,-22.70%,23.90%,3,50.00%,-25.00%,3,,50.00%,15,25.00%,-21.10%,248,225,204,111.80%,20.20%,18.10%
"Alfred, ME",Sep-16,$148K,-35.60%,-5.70%,1,-66.70%,-50.00%,6,100.00%,100.00%,18,20.00%,-14.30%,282,34,276,100.00%,-11.80%,0.00%
"Alfred, ME",Oct-16,$241K,62.70%,-10.10%,2,100.00%,100.00%,,,,14,-22.20%,-30.00%,188,-94,159,100.80%,0.80%,4.70%
"Alfred, ME",Nov-16,$255K,5.70%,,3,50.00%,,,,,11,-21.40%,,139,-49,,102.60%,1.80%,
"Alfred, ME",Dec-16,$275K,8.00%,20.70%,1,-66.70%,-50.00%,2,,0.00%,12,9.10%,-29.40%,218,79,161,100.00%,-2.60%,4.30%
"Alfred, ME",Jan-17,$309K,12.40%,15.60%,2,100.00%,0.00%,,,,12,0.00%,-20.00%,564,346,247,117.70%,17.70%,16.70%
"Alfred, ME",Mar-17,$210K,,2.50%,1,,-50.00%,2,,-33.30%,10,,-9.10%,87,,-32,95.50%,,-4.50%
"Alfred, ME",Apr-17,$290K,38.10%,26.90%,1,0.00%,-75.00%,1,-50.00%,-50.00%,10,0.00%,11.10%,206,119,109,97.00%,1.50%,-8.20%
"Alfred, ME",May-17,$340K,17.20%,36.80%,3,200.00%,200.00%,3,200.00%,,12,20.00%,100.00%,201,-5,-32,100.60%,3.60%,-0.90%
"Alfred, ME",Jun-17,$388K,14.10%,98.90%,1,-66.70%,-66.70%,1,-66.70%,-90.00%,8,-33.30%,-42.90%,8,-193,-32,97.00%,-3.60%,0.50%
"Alfred, ME",Jul-17,$116K,-70.10%,-61.00%,1,0.00%,-50.00%,,,,7,-12.50%,-41.70%,306,298,283,100.90%,3.90%,9.30%
"Alfred, ME",Aug-17,$312K,169.40%,35.80%,1,0.00%,-66.70%,1,,-66.70%,6,-14.30%,-60.00%,389,83,141,100.00%,-0.90%,-11.80%
