Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Adams County, NE",Mar-14,$290K,,,1,,,14,,,37,,,478,,,100.00%,,
"Adams County, NE",Apr-14,$190K,-34.50%,,1,0.00%,,18,28.60%,,54,45.90%,,116,-362,,95.50%,-4.60%,
"Adams County, NE",May-14,$250K,31.60%,,1,0.00%,,28,55.60%,,81,50.00%,,90,-26,,96.90%,1.50%,
"Adams County, NE",Jun-14,$123K,-50.80%,,25,2400.00%,,23,-17.90%,,76,-6.20%,,64,-26,,93.80%,-3.10%,
"Adams County, NE",Jul-14,$129K,4.50%,,26,4.00%,,17,-26.10%,,69,-9.20%,,112,48,,94.60%,0.80%,
"Adams County, NE",Aug-14,$99K,-23.00%,,26,0.00%,,26,52.90%,,70,1.40%,,86,-26,,98.80%,4.30%,
"Adams County, NE",Sep-14,$95K,-4.00%,,24,-7.70%,,16,-38.50%,,65,-7.10%,,70,-16,,95.60%,-3.30%,
"Adams County, NE",Oct-14,$91K,-4.20%,,27,12.50%,,24,50.00%,,62,-4.60%,,64,-6,,92.00%,-3.60%,
"Adams County, NE",Nov-14,$113K,24.20%,,18,-33.30%,,20,-16.70%,,64,3.20%,,150,86,,93.20%,1.20%,
"Adams County, NE",Dec-14,$86K,-23.90%,,19,5.60%,,10,-50.00%,,55,-14.10%,,55,-95,,97.10%,3.90%,
"Adams County, NE",Jan-15,$107K,24.40%,,18,-5.30%,,16,60.00%,,53,-3.60%,,103,48,,92.00%,-5.10%,
"Adams County, NE",Feb-15,$128K,19.70%,,14,-22.20%,,24,50.00%,,63,18.90%,,92,-11,,94.30%,2.30%,
"Adams County, NE",Mar-15,$99K,-22.70%,-65.90%,21,50.00%,2000.00%,29,20.80%,107.10%,71,12.70%,91.90%,103,11,-375,94.90%,0.60%,-5.10%
"Adams County, NE",Apr-15,$135K,36.50%,-28.90%,25,19.00%,2400.00%,25,-13.80%,38.90%,71,0.00%,31.50%,57,-46,-59,97.30%,2.40%,1.80%
"Adams County, NE",May-15,$138K,1.80%,-45.00%,24,-4.00%,2300.00%,29,16.00%,3.60%,75,5.60%,-7.40%,74,17,-16,96.70%,-0.60%,-0.20%
"Adams County, NE",Jun-15,$130K,-5.80%,5.30%,30,25.00%,20.00%,26,-10.30%,13.00%,71,-5.30%,-6.60%,62,-12,-2,93.40%,-3.30%,-0.40%
"Adams County, NE",Jul-15,$108K,-17.00%,-16.40%,31,3.30%,19.20%,26,0.00%,52.90%,66,-7.00%,-4.30%,65,3,-47,95.70%,2.30%,1.10%
"Adams County, NE",Aug-15,$110K,2.30%,11.10%,17,-45.20%,-34.60%,20,-23.10%,-23.10%,68,3.00%,-2.90%,58,-7,-28,95.10%,-0.50%,-3.70%
"Adams County, NE",Sep-15,$107K,-2.70%,12.60%,26,52.90%,8.30%,21,5.00%,31.30%,63,-7.40%,-3.10%,99,41,29,95.10%,-0.10%,-0.50%
"Adams County, NE",Oct-15,$104K,-3.20%,13.80%,20,-23.10%,-25.90%,16,-23.80%,-33.30%,60,-4.80%,-3.20%,70,-29,6,97.00%,1.90%,5.00%
"Adams County, NE",Nov-15,$132K,27.50%,16.80%,13,-35.00%,-27.80%,12,-25.00%,-40.00%,59,-1.70%,-7.80%,118,48,-32,95.80%,-1.20%,2.60%
"Adams County, NE",Dec-15,$94K,-28.80%,9.30%,17,30.80%,-10.50%,16,33.30%,60.00%,58,-1.70%,5.50%,92,-26,37,97.20%,1.40%,0.10%
"Adams County, NE",Jan-16,$76K,-19.70%,-29.40%,12,-29.40%,-33.30%,14,-12.50%,-12.50%,60,3.40%,13.20%,90,-2,-13,97.50%,0.40%,5.50%
"Adams County, NE",Feb-16,$73K,-3.30%,-43.00%,5,-58.30%,-64.30%,14,0.00%,-41.70%,69,15.00%,9.50%,42,-48,-50,96.90%,-0.60%,2.60%
"Adams County, NE",Mar-16,$110K,50.70%,11.10%,18,260.00%,-14.30%,27,92.90%,-6.90%,77,11.60%,8.50%,94,52,-9,95.30%,-1.70%,0.40%
"Adams County, NE",Apr-16,$105K,-5.00%,-22.60%,22,22.20%,-12.00%,28,3.70%,12.00%,83,7.80%,16.90%,127,33,70,92.40%,-2.90%,-4.90%
"Adams County, NE",May-16,$81K,-22.50%,-41.10%,25,13.60%,4.20%,21,-25.00%,-27.60%,79,-4.80%,5.30%,77,-50,3,96.30%,3.90%,-0.50%
"Adams County, NE",Jun-16,$165K,103.70%,27.40%,29,16.00%,-3.30%,24,14.30%,-7.70%,75,-5.10%,5.60%,74,-3,12,96.20%,-0.10%,2.80%
"Adams County, NE",Jul-16,$100K,-39.40%,-7.00%,29,0.00%,-6.50%,18,-25.00%,-30.80%,63,-16.00%,-4.50%,86,12,21,96.40%,0.20%,0.70%
"Adams County, NE",Aug-16,$115K,15.00%,4.50%,25,-13.80%,47.10%,37,105.60%,85.00%,75,19.00%,10.30%,61,-25,3,95.10%,-1.30%,-0.10%
"Adams County, NE",Sep-16,$125K,8.70%,16.80%,25,0.00%,-3.80%,28,-24.30%,33.30%,79,5.30%,25.40%,60,-1,-39,96.10%,1.10%,1.10%
"Adams County, NE",Oct-16,$123K,-2.00%,18.30%,22,-12.00%,10.00%,21,-25.00%,31.30%,78,-1.30%,30.00%,69,9,-1,95.50%,-0.60%,-1.40%
"Adams County, NE",Nov-16,$114K,-6.90%,-13.60%,27,22.70%,107.70%,14,-33.30%,16.70%,65,-16.70%,10.20%,68,-1,-50,96.50%,1.00%,0.70%
"Adams County, NE",Dec-16,$110K,-3.50%,17.00%,29,7.40%,70.60%,15,7.10%,-6.30%,51,-21.50%,-12.10%,65,-3,-27,95.90%,-0.60%,-1.30%
"Adams County, NE",Jan-17,$116K,5.50%,53.60%,16,-44.80%,33.30%,11,-26.70%,-21.40%,46,-9.80%,-23.30%,73,8,-17,95.00%,-0.90%,-2.60%
"Adams County, NE",Feb-17,$98K,-15.50%,34.20%,7,-56.30%,40.00%,26,136.40%,85.70%,65,41.30%,-5.80%,159,86,117,92.90%,-2.10%,-4.10%
"Adams County, NE",Mar-17,$95K,-3.10%,-13.60%,22,214.30%,22.20%,26,0.00%,-3.70%,69,6.20%,-10.40%,73,-86,-21,96.10%,3.20%,0.80%
"Adams County, NE",Apr-17,$97K,2.10%,-7.20%,25,13.60%,13.60%,28,7.70%,0.00%,72,4.30%,-13.30%,69,-4,-58,94.20%,-1.90%,1.90%
"Adams County, NE",May-17,$132K,36.20%,63.10%,25,0.00%,0.00%,31,10.70%,47.60%,78,8.30%,-1.30%,76,7,-1,96.30%,2.10%,0.00%
"Adams County, NE",Jun-17,$130K,-1.60%,-21.20%,35,40.00%,20.70%,28,-9.70%,16.70%,71,-9.00%,-5.30%,64,-12,-10,97.90%,1.60%,1.70%
"Adams County, NE",Jul-17,$107K,-17.70%,7.00%,23,-34.30%,-20.70%,16,-42.90%,-11.10%,63,-11.30%,0.00%,70,6,-16,96.40%,-1.50%,0.00%
"Adams County, NE",Aug-17,$117K,9.30%,1.70%,19,-17.40%,-24.00%,25,56.30%,-32.40%,69,9.50%,-8.00%,65,-5,4,99.00%,2.60%,3.90%
"Adams County, NE",Sep-17,$91K,-22.60%,-27.60%,28,47.40%,12.00%,16,-36.00%,-42.90%,57,-17.40%,-27.80%,93,28,33,95.60%,-3.40%,-0.50%
"Adams County, NE",Oct-17,$98K,8.30%,-20.00%,16,-42.90%,-27.30%,14,-12.50%,-33.30%,56,-1.80%,-28.20%,77,-16,8,95.60%,0.00%,0.10%
"Adams County, NE",Nov-17,$130K,32.60%,14.00%,23,43.80%,-14.80%,14,0.00%,0.00%,47,-16.10%,-27.70%,81,4,13,95.90%,0.30%,-0.60%
"Adams County, NE",Dec-17,$102K,-21.50%,-7.30%,19,-17.40%,-34.50%,10,-28.60%,-33.30%,38,-19.10%,-25.50%,79,-2,14,95.10%,-0.80%,-0.80%
"Adams County, NE",Jan-18,$123K,20.10%,5.60%,10,-47.40%,-37.50%,22,120.00%,100.00%,50,31.60%,8.70%,54,-25,-19,97.40%,2.30%,2.50%
"Adams County, NE",Feb-18,$111K,-9.40%,13.30%,12,20.00%,71.40%,14,-36.40%,-46.20%,52,4.00%,-20.00%,78,24,-81,95.90%,-1.50%,3.00%
"Adams County, NE",Mar-18,$137K,23.40%,44.20%,16,33.30%,-27.30%,33,135.70%,26.90%,69,32.70%,0.00%,56,-22,-17,96.40%,0.50%,0.30%
"Adams County, NE",Apr-18,$115K,-16.40%,18.00%,14,-12.50%,-44.00%,30,-9.10%,7.10%,85,23.20%,18.10%,62,6,-7,96.00%,-0.40%,1.70%
"Adams County, NE",May-18,$118K,2.60%,-11.10%,28,100.00%,12.00%,19,-36.70%,-38.70%,75,-11.80%,-3.80%,71,9,-5,97.00%,1.00%,0.70%
"Adams County, NE",Jun-18,$135K,14.50%,3.50%,36,28.60%,2.90%,24,26.30%,-14.30%,63,-16.00%,-11.30%,68,-3,4,97.40%,0.40%,-0.50%
"Adams County, NE",Jul-18,$156K,15.70%,45.40%,22,-38.90%,-4.30%,26,8.30%,62.50%,66,4.80%,4.80%,72,4,2,95.10%,-2.30%,-1.30%
"Adams County, NE",Aug-18,$127K,-18.40%,8.60%,30,36.40%,57.90%,30,15.40%,20.00%,67,1.50%,-2.90%,65,-7,0,97.20%,2.20%,-1.80%
"Adams County, NE",Sep-18,$121K,-4.70%,33.70%,18,-40.00%,-35.70%,15,-50.00%,-6.30%,64,-4.50%,12.30%,60,-5,-33,96.10%,-1.10%,0.50%
"Adams County, NE",Oct-18,$110K,-9.00%,12.30%,19,5.60%,18.80%,22,46.70%,57.10%,67,4.70%,19.60%,68,8,-9,97.40%,1.30%,1.80%
"Adams County, NE",Nov-18,$165K,49.90%,26.90%,24,26.30%,4.30%,19,-13.60%,35.70%,62,-7.50%,31.90%,55,-13,-26,96.80%,-0.60%,0.90%
"Adams County, NE",Dec-18,$109K,-34.10%,6.60%,18,-25.00%,-5.30%,9,-52.60%,-10.00%,53,-14.50%,39.50%,73,18,-6,94.70%,-2.10%,-0.40%
"Adams County, NE",Jan-19,$86K,-20.90%,-29.80%,13,-27.80%,30.00%,17,88.90%,-22.70%,57,7.50%,14.00%,62,-11,8,95.50%,0.80%,-1.90%
"Adams County, NE",Feb-19,$94K,9.30%,-15.30%,14,7.70%,16.70%,13,-23.50%,-7.10%,56,-1.80%,7.70%,93,31,15,94.50%,-1.10%,-1.40%
