Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Alton, NH",Jan-12,$183K,-13.10%,-11.00%,6,500.00%,500.00%,,,,8,-38.50%,14.30%,148,-31,-234,93.20%,-0.20%,4.00%
"Alton, NH",Feb-12,$332K,81.80%,50.80%,2,-66.70%,100.00%,2,,100.00%,8,0.00%,14.30%,159,11,12,95.50%,2.30%,3.80%
"Alton, NH",Mar-12,$780K,135.10%,183.60%,1,-50.00%,0.00%,2,0.00%,100.00%,10,25.00%,42.90%,603,444,340,97.50%,2.00%,-0.70%
"Alton, NH",Apr-12,$850K,9.00%,,1,0.00%,,4,100.00%,,13,30.00%,,191,-412,,87.20%,-10.30%,
"Alton, NH",May-12,$162K,-80.90%,-1.70%,4,300.00%,33.30%,1,-75.00%,-66.70%,9,-30.80%,-18.20%,123,-68,12,93.20%,6.00%,-2.60%
"Alton, NH",Jun-12,$246K,51.60%,5.40%,5,25.00%,150.00%,2,100.00%,-33.30%,6,-33.30%,-50.00%,92,-31,-36,94.30%,1.10%,3.30%
"Alton, NH",Jul-12,$148K,-40.00%,-69.40%,2,-60.00%,0.00%,,,,4,-33.30%,-66.70%,107,15,-351,98.30%,3.90%,5.80%
"Alton, NH",Aug-12,$542K,267.20%,152.70%,2,0.00%,-50.00%,,,,2,-50.00%,-81.80%,55,-52,-21,95.60%,-2.60%,4.40%
"Alton, NH",Dec-12,$315K,,50.00%,1,,0.00%,1,,0.00%,10,,-23.10%,98,,-81,83.10%,,-10.20%
"Alton, NH",Mar-13,$338K,,-56.70%,5,,400.00%,2,,0.00%,14,,40.00%,126,,-477,93.00%,,-4.50%
"Alton, NH",Apr-13,$190K,-43.80%,-77.60%,3,-40.00%,200.00%,5,150.00%,25.00%,16,14.30%,23.10%,82,-44,-109,94.60%,1.60%,7.40%
"Alton, NH",May-13,$120K,-36.80%,-26.00%,2,-33.30%,-50.00%,1,-80.00%,0.00%,14,-12.50%,55.60%,120,38,-3,83.70%,-10.90%,-9.50%
"Alton, NH",Jun-13,$209K,74.20%,-15.00%,3,50.00%,-40.00%,9,800.00%,350.00%,21,50.00%,250.00%,72,-48,-20,91.40%,7.70%,-2.90%
"Alton, NH",Jul-13,$336K,60.50%,127.30%,4,33.30%,100.00%,1,-88.90%,,19,-9.50%,375.00%,88,16,-19,97.40%,6.00%,-0.90%
"Alton, NH",Aug-13,$191K,-43.10%,-64.80%,6,50.00%,200.00%,1,0.00%,,14,-26.30%,600.00%,94,6,39,91.70%,-5.70%,-4.00%
"Alton, NH",Sep-13,$250K,30.90%,,3,-50.00%,,3,200.00%,,14,0.00%,,214,120,,97.10%,5.50%,
"Alton, NH",Oct-13,$133K,-46.90%,,3,0.00%,,1,-66.70%,,12,-14.30%,,98,-116,,89.30%,-7.80%,
"Alton, NH",Nov-13,$286K,115.40%,,1,-66.70%,,,,,10,-16.70%,,200,102,,95.70%,6.30%,
"Alton, NH",Dec-13,$750K,162.20%,138.10%,1,0.00%,0.00%,2,,100.00%,11,10.00%,10.00%,322,122,224,88.80%,-6.90%,5.60%
"Alton, NH",Mar-14,$127K,,-62.60%,1,,-80.00%,2,,0.00%,18,,28.60%,239,,113,91.70%,,-1.30%
"Alton, NH",May-14,$250K,,108.30%,3,,50.00%,5,,400.00%,26,,85.70%,213,,93,97.60%,,13.80%
"Alton, NH",Jun-14,$220K,-12.00%,5.30%,5,66.70%,66.70%,7,40.00%,-22.20%,26,0.00%,23.80%,90,-123,18,95.80%,-1.80%,4.30%
