Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Abiquiu, NM",May-19,$41K,,,1,,,,,,,,,67,,,102.80%,,
"Abiquiu, NM",Sep-19,$600K,,,1,,,,,,,,,976,,,85.80%,,
"Agua Fria, NM",May-12,$74K,,,1,,,1,,,4,,,345,,,84.90%,,
"Agua Fria, NM",Oct-12,$425K,,55.00%,1,,-50.00%,,,,4,,-66.70%,209,,153,,,
"Agua Fria, NM",Nov-12,$183K,-56.90%,-6.10%,1,0.00%,0.00%,1,,,4,0.00%,-55.60%,91,-118,59,,,
"Agua Fria, NM",Mar-13,$299K,,,1,,,,,,4,,,208,,,,,
"Agua Fria, NM",May-13,$199K,,170.70%,1,,0.00%,1,,0.00%,5,,25.00%,199,,-146,,,
"Agua Fria, NM",Oct-13,$402K,,-5.50%,2,,100.00%,,,,5,,25.00%,149,,-60,,,
"Agua Fria, NM",Dec-13,$99K,,,1,,,1,,,4,,,227,,,,,
"Agua Fria, NM",Mar-14,$150K,,-49.70%,1,,0.00%,3,,,5,,25.00%,288,,80,,,
"Agua Fria, NM",Jun-14,$136K,,,1,,,2,,,4,,,89,,,,,
"Agua Fria, NM",Aug-14,$385K,,,1,,,,,,4,,,69,,,,,
"Agua Fria, NM",Jan-15,$235K,,,1,,,,,,6,,,714,,,,,
"Agua Fria, NM",Mar-15,$219K,,45.70%,2,,100.00%,,,,4,,-20.00%,286,,-2,,,
"Agua Fria, NM",Apr-15,$144K,-34.10%,,1,-50.00%,,,,,3,-25.00%,,294,8,,,,
"Agua Fria, NM",May-15,$190K,31.90%,,1,0.00%,,,,,2,-33.30%,,193,-101,,,,
"Agua Fria, NM",Sep-15,$234K,,,1,,,3,,,9,,,86,,,,,
"Agua Fria, NM",Nov-15,$190K,,,2,,,,,,8,,,292,,,,,
"Agua Fria, NM",Jan-16,$300K,,27.70%,1,,0.00%,2,,,10,,66.70%,93,,-621,,,
"Agua Fria, NM",Feb-16,$159K,-47.00%,,1,0.00%,,1,-50.00%,,8,-20.00%,,148,55,,,,
