Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Abercrombie, ND",Jun-14,$86K,,,1,,,,,,,,,40,,,91.60%,,
"Abercrombie, ND",Feb-16,$135K,,,1,,,,,,1,,,272,,,96.10%,,
"Abercrombie, ND",May-16,$76K,,,1,,,,,,1,,,107,,,103.00%,,
"Abercrombie, ND",Dec-16,$57K,,,1,,,1,,,1,,,235,,,87.30%,,
"Abercrombie, ND",Aug-17,$70K,,,1,,,,,,1,,,27,,,100.00%,,
"Abercrombie, ND",Nov-17,$52K,,,1,,,,,,,,,323,,,95.40%,,
"Abercrombie, ND",Jun-18,$250K,,,1,,,,,,,,,51,,,100.00%,,
"Abercrombie, ND",Mar-19,$302K,,,1,,,1,,,2,,,72,,,95.90%,,
"Abercrombie, ND",Apr-19,$50K,-83.40%,,1,0.00%,,3,200.00%,,3,50.00%,,39,-33,,111.10%,15.20%,
"Abercrombie, ND",May-19,$167K,234.90%,,2,100.00%,,1,-66.70%,,2,-33.30%,,33,-6,,103.90%,-7.20%,
"Abercrombie, ND",Aug-19,$169K,,,1,,,,,,2,,,50,,,100.00%,,
"Abercrombie, ND",Mar-20,$168K,,-44.40%,1,,0.00%,,,,1,,-50.00%,504,,432,98.80%,,2.90%
"Abercrombie, ND",Apr-20,$21K,-87.60%,-58.40%,1,0.00%,0.00%,,,,,,,125,-379,86,104.40%,5.60%,-6.70%
"Abercrombie, ND",Oct-20,$238K,,,1,,,,,,2,,,52,,,101.30%,,
"Abercrombie, ND",Dec-20,$183K,,,2,,,1,,,1,,,151,,,100.80%,,
"Abercrombie, ND",Jan-21,$125K,-31.70%,,1,-50.00%,,,,,,,,27,-124,,100.00%,-0.80%,
"Abercrombie, ND",Apr-21,$321K,,1442.00%,1,,0.00%,,,,,,,49,,-76,100.20%,,-4.30%
"Abercrombie, ND",Aug-21,$245K,,,1,,,,,,,,,52,,,98.00%,,
"Abercrombie, ND",Feb-22,$155K,,,1,,,,,,,,,66,,,100.00%,,
"Abercrombie, ND",May-22,$320K,,,1,,,,,,1,,,48,,,101.60%,,
"Abercrombie, ND",Aug-22,$200K,,-18.40%,1,,0.00%,1,,,1,,,149,,97,100.00%,,2.00%
"Abercrombie, ND",Sep-22,$226K,12.80%,,1,0.00%,,,,,,,,42,-107,,121.90%,21.90%,
"Adams County, ND",Nov-15,$32K,,,1,,,1,,,9,,,537,,,91.70%,,
"Adams County, ND",Feb-16,$309K,,,1,,,,,,8,,,478,,,,,
"Adams County, ND",Aug-17,$155K,,,1,,,2,,,6,,,350,,,,,
"Adams County, ND",Jul-18,$213K,,,1,,,,,,7,,,"1,207",,,96.80%,,
"Adams County, ND",Aug-18,$80K,-62.60%,-48.60%,1,0.00%,0.00%,,,,4,-42.90%,-33.30%,93,"-1,114",-257,96.00%,-0.80%,
"Adams County, ND",Oct-18,$23K,,,1,,,,,,2,,,140,,,90.40%,,
"Adams County, ND",Nov-18,$141K,523.30%,,2,100.00%,,,,,2,0.00%,,960,820,,81.10%,-9.30%,
"Adams County, ND",Jan-19,$75K,,,1,,,2,,,3,,,"2,632",,,79.80%,,
"Adams County, ND",Apr-19,$195K,,,1,,,1,,,4,,,"2,055",,,79.60%,,
"Adams County, ND",Jun-19,$160K,,,2,,,,,,2,,,704,,,97.50%,,
"Adams County, ND",Nov-19,$82K,,-41.80%,1,,-50.00%,,,,4,,100.00%,"2,567",,"1,607",86.40%,,5.30%
"Adams County, ND",Jun-20,$200K,,25.40%,1,,-50.00%,2,,,7,,250.00%,62,,-642,88.90%,,-8.60%
"Adams County, ND",Jul-20,$130K,-35.00%,,1,0.00%,,,,,6,-14.30%,,106,44,,93.50%,4.60%,
"Adams County, ND",Sep-20,$43K,,,1,,,,,,7,,,"1,409",,,106.30%,,
"Adams County, ND",Dec-20,$119K,,,3,,,2,,,9,,,210,,,96.80%,,
"Adams County, ND",Mar-21,$285K,,,1,,,1,,,9,,,166,,,,,
"Adams County, ND",Apr-21,$105K,-63.30%,,2,100.00%,,1,0.00%,,9,0.00%,,996,830,,95.00%,,
"Adams County, ND",Jun-21,$218K,,9.00%,1,,0.00%,1,,-50.00%,9,,28.60%,48,,-14,96.90%,,8.00%
