Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Achille, OK",May-14,$65K,,,1,,,,,,,,,159,,,108.50%,,
"Achille, OK",Mar-15,$35K,,,1,,,,,,,,,195,,,72.20%,,
"Achille, OK",Jul-17,$115K,,,1,,,,,,,,,91,,,92.00%,,
"Achille, OK",Jun-18,$68K,,,1,,,,,,,,,79,,,103.80%,,
"Achille, OK",Jul-19,$25K,,,1,,,1,,,,,,,,,100.00%,,
"Achille, OK",Feb-20,$85K,,,1,,,,,,,,,27,,,100.00%,,
"Achille, OK",Sep-20,$135K,,,1,,,,,,2,,,88,,,100.00%,,
"Achille, OK",Jan-21,$102K,,,1,,,1,,,1,,,192,,,97.20%,,
"Achille, OK",Jan-22,$208K,,103.90%,1,,0.00%,,,,,,,165,,-27,96.70%,,-0.50%
"Achille, OK",Jun-22,$189K,,,1,,,,,,,,,21,,,105.10%,,
"Achille, OK",Mar-23,$189K,,,1,,,,,,3,,,132,,,97.90%,,
"Achille, OK",Apr-23,$70K,-63.00%,,1,0.00%,,,,,2,-33.30%,,12,-120,,82.40%,-15.50%,
"Achille, OK",Jun-23,$167K,,-11.60%,1,,0.00%,,,,,,,53,,32,100.00%,,-5.10%
"Achille, OK",Jul-23,$240K,43.70%,,1,0.00%,,,,,,,,109,56,,87.30%,-12.70%,
"Ada, OK",Oct-12,$20K,,,3,,,,,,,,,63,,,86.70%,,
"Ada, OK",Jan-13,$43K,,,3,,,6,,,6,,,64,,,95.00%,,
"Ada, OK",Apr-13,$14K,,,1,,,1,,,8,,,73,,,103.80%,,
"Ada, OK",May-13,$39K,187.20%,,2,100.00%,,1,0.00%,,5,-37.50%,,66,-7,,106.50%,2.60%,
"Ada, OK",Jun-13,$28K,-29.10%,,1,-50.00%,,1,0.00%,,5,0.00%,,67,1,,87.30%,-19.20%,
"Ada, OK",Jul-13,$20K,-27.30%,,3,200.00%,,,,,2,-60.00%,,159,92,,55.50%,-31.80%,
"Ada, OK",Sep-13,$40K,,,1,,,,,,2,,,123,,,100.00%,,
"Ada, OK",Nov-13,$86K,,,1,,,,,,1,,,160,,,82.00%,,
"Ada, OK",Apr-14,$120K,,788.90%,1,,0.00%,,,,1,,-87.50%,365,,292,96.00%,,-7.80%
"Ada, OK",Jul-14,$40K,,100.00%,1,,-66.70%,3,,,6,,200.00%,47,,-112,105.30%,,49.80%
"Ada, OK",Aug-14,$37K,-7.00%,,1,0.00%,,5,66.70%,,10,66.70%,,182,135,,104.60%,-0.60%,
"Ada, OK",Sep-14,$35K,-5.80%,-12.00%,1,0.00%,0.00%,5,0.00%,,14,40.00%,600.00%,45,-137,-78,100.10%,-4.50%,0.10%
"Ada, OK",Jan-15,$65K,,,1,,,14,,,47,,,,,,92.80%,,
"Ada, OK",Mar-15,$43K,,,3,,,14,,,66,,,42,,,117.10%,,
